year,mileage,tax,mpg,engineSize,price
2017,15735,150,55.4,1.4,12500
2016,36203,20,64.2,2,16500
2016,29946,30,55.4,1.4,11000
2017,25952,145,67.3,2,16800
2019,1998,145,49.6,1,17300
2016,32260,30,58.9,1.4,13900
2016,76788,30,61.4,2,13250
2016,75185,20,70.6,2,11750
2015,46112,20,60.1,1.4,10200
2016,22451,30,55.4,1.4,12000
2017,28955,145,58.9,1.4,16100
2016,52198,125,57.6,2,16500
2016,44915,145,52.3,2,17000
2017,21695,30,58.9,1.4,16400
2015,47348,30,61.4,2,15400
2017,26156,145,58.9,1.4,14500
2016,28396,145,53.3,2,15700
2014,30516,30,56.5,1.4,13900
2016,37652,200,47.1,2,19000
2014,34110,145,47.9,1.4,17000
2017,37100,145,67.3,2,17300
2016,23714,200,47.1,2,20200
2017,21649,145,58.9,3,22500
2015,62748,150,53.3,3,17500
2016,23789,200,47.1,2,20000
2017,17418,145,62.8,2,18500
2017,33300,145,61.4,2,19500
2018,10793,145,56.5,1.4,15800
2018,25138,145,70.6,2,17200
2015,61176,30,62.8,2,14000
2015,54754,0,76.3,1.6,9500
2017,21369,125,51.4,1.4,16500
2014,39190,205,47.9,2,15000
2017,47482,150,47.9,1.4,16000
2016,40501,150,51.4,2,16900
2014,43195,200,47.9,2,12300
2017,31447,145,67.3,1,10800
2016,34030,125,58.9,2,19400
2017,29063,145,70.6,2,16000
2017,29545,145,65.7,2,17100
2015,75619,20,68.9,2,11300
2016,39603,160,50.4,2,17200
2017,42908,145,51.4,2,20300
2014,83872,125,58.9,2,13200
2016,58750,145,47.9,1.4,15200
2019,2029,145,49.6,1,15700
2018,22958,145,50.4,1.8,16600
2017,32097,145,72.4,2,14400
2017,13057,145,53.3,2,20200
2017,20278,145,38.7,3,23700
2016,52561,0,74.3,2,12750
2015,31604,20,67.3,2,13000
2016,32011,145,49.6,1.4,15900
2016,39134,30,60.1,2,15000
2015,89483,205,47.1,2,14700
2015,56291,200,42.8,1.8,15000
2016,47767,20,61.4,2,16000
2014,34315,125,53.3,1.4,11000
2016,66369,0,83.1,1.6,10200
2016,34110,30,61.4,2,18500
2013,76269,0,74.3,1.6,7000
2016,37840,20,70.6,1.6,10600
2017,26249,30,67.3,1.6,16000
2017,44898,125,57.7,2,15000
2017,67161,150,51.4,1.4,14000
2018,17992,150,54.3,1.5,18950
2016,97440,20,70.6,2,10200
2017,19268,150,67.3,1,11700
2013,51441,125,50.4,1.8,11500
2016,18181,0,67.3,1,10800
2016,19494,30,67.3,2,12500
2016,32808,30,61.4,2,16600
2017,25965,145,65.7,2,13100
2016,88215,20,68.9,2,8300
2019,5704,145,49.6,1,16000
2017,10959,145,51.4,1.4,16900
2016,30201,200,47.1,2,19600
2017,19319,145,40.4,2,21800
2017,22582,145,61.4,2,16200
2017,20052,145,49.6,2,18700
2016,16666,30,60.1,2,16100
2016,25626,0,74.3,1.6,11300
2016,10460,20,60.1,1.4,14100
2016,43307,125,57.6,2,16600
2017,29327,30,55.4,1.4,11300
2017,36714,125,51.4,1.4,15600
2014,28324,125,53.3,1.4,10000
2016,12100,30,56.5,1.4,14500
2017,18001,145,62.8,2,16100
2016,28760,30,55.4,1.4,10600
2019,4000,145,44.1,1.5,25499
